﻿Kód;Název Obce;Status obce;Kód POU;Název POU;Kód ORP;Název ORP;Kód Okresu;Název Okresu;Kód Kraje (VÚSC);Název Kraje (VÚSC)
582603;Vavřinec;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
582611;Vážany;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582620;Stvolová;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582646;Velké Opatovice;Město;2739;Velké Opatovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582654;Vilémovice;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
582662;Vísky;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582671;Voděrady;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582689;Vranová;Obec;2721;Letovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582701;Vysočany;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
582727;Zbraslavec;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582743;Žďár;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
582751;Žďárná;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
582760;Žernovník;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
582778;Žerůtky;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
586005;Závist;Obec;2704;Blansko;1295;Blansko;3701;Blansko;116;Jihomoravský kraj
586064;Světlá;Obec;2712;Boskovice;1309;Boskovice;3701;Blansko;116;Jihomoravský kraj
